Id,DP,PROPN,X,PUNCT,ADP,ADV,NOUN,DET,NTJ,PRON,ADJ,ROPN,ET,VERB,ERB,NUM,INTJ,AUX,SCONJ,Clase
1,1,24,2,3,2,1,4,1,0,0,0,0,0,0,0,0,0,0,0,Negativo
2,0,19,0,2,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,Negativo
3,0,21,0,2,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,Positivo
4,0,21,0,2,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,Negativo
5,0,21,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,Positivo
6,0,49,2,7,0,0,5,2,0,0,0,1,0,2,0,0,0,0,0,Positivo
7,0,10,1,4,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,Positivo
8,0,32,1,3,2,0,5,3,0,0,0,0,0,3,1,0,0,0,0,Positivo
9,0,28,2,8,0,1,10,4,0,0,1,1,0,0,0,0,0,0,0,Positivo
10,0,40,0,0,0,0,5,1,0,1,0,1,0,2,0,2,0,0,0,Positivo
11,0,42,2,6,1,1,3,1,0,1,1,1,0,1,0,2,1,0,0,Positivo
12,0,38,1,4,5,0,9,4,0,1,0,1,0,3,0,0,3,0,0,Positivo
13,1,25,0,2,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,Positivo
14,0,26,3,2,2,0,4,0,0,1,1,1,0,2,0,0,0,1,0,Negativo
15,0,34,4,2,1,1,11,2,0,0,1,1,0,3,0,0,2,0,1,Negativo
