Id,RP,MD,RB,VB,DT,NN,IN,NNP,PRP,VBP,JJ,VBG,CC,JJS,VBN,T,VBZ,JJR,``,'',.,NNS,VBD,PDT,CD,POS,WDT,TO,B,PRP$,:,EX,RBR,(,),NS,J,N,RBS,WRB,WP,NP,Clase
1,1,1,3,1,5,6,2,2,2,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Positivo
2,0,0,0,0,4,5,6,3,0,0,2,2,0,0,0,1,1,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Positivo
3,1,0,3,1,10,8,3,2,2,1,6,2,1,0,0,1,0,0,0,0,5,3,6,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Positivo
4,0,0,2,1,0,3,1,4,0,0,1,0,1,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Positivo
5,0,0,1,0,2,3,3,0,0,2,2,1,1,1,0,1,2,1,0,0,1,3,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,Positivo
6,0,0,2,0,0,1,0,0,0,1,2,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,Negativo
7,2,3,18,6,8,13,11,0,11,3,7,1,3,0,2,0,5,0,0,0,1,2,2,0,2,0,0,2,1,2,0,0,3,2,2,0,0,0,0,0,0,0,Positivo
8,1,3,11,6,6,8,4,3,7,1,4,3,3,0,1,1,2,0,0,0,6,3,2,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Positivo
9,0,0,3,0,0,3,1,1,1,1,0,0,1,0,0,0,1,0,0,0,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Positivo
10,0,0,4,2,7,9,3,3,2,1,2,1,3,0,0,0,3,0,1,1,2,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Positivo
11,0,0,3,1,8,4,2,2,2,2,5,1,3,2,1,0,0,0,0,0,3,4,3,0,1,0,0,1,0,2,0,0,0,0,0,0,0,1,1,1,0,0,Negativo
12,0,1,4,2,9,13,7,0,4,2,3,0,2,0,1,1,4,0,0,0,3,1,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Negativo
13,1,1,1,1,3,2,1,1,2,2,0,0,0,0,1,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Negativo
14,0,0,4,0,4,4,2,1,2,0,5,0,0,1,0,0,2,0,0,0,2,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,Negativo
15,0,0,0,0,4,4,2,0,0,0,0,0,3,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,Negativo
