e,1,
esperas,1,
una,13,
película,16,
de,41,
superhéroes,2,
y,14,
te,1,
encuentras,1,
súperllorones,1,
,,35,
es,13,
infantil,1,
con,7,
unos,1,
personajes,4,
muy,2,
pobre,1,
sin,2,
fuerza,1,
podían,1,
haber,1,
invertido,1,
el,7,
dinero,1,
en,10,
hacer,4,
algo,2,
decente,1,
no,9,
este,2,
bodrio,1,
o,3,
I,4,
gustó,1,
para,8,
nada,2,
la,18,
historia,3,
querer,1,
salvarlos,1,
nose,1,
creo,2,
que,23,
pudo,1,
ser,2,
mejor,6,
guión,2,
parece,1,
cuenticos,1,
rosado,1,
.,14,
sta,1,
pelicula,4,
era,1,
lo,7,
le,1,
faltaba,1,
al,3,
spiderman,3,
tom,3,
holland,3,
un,8,
verdadero,1,
desarrollo,1,
personaje,2,
perdida,1,
dura,1,
increible,1,
tengo,1,
escribir,1,
opinión,2,
todo,8,
sabemos,1,
mal,3,
hecha,1,
está,1,
digo,2,
como,8,
fan,1,
hombre,1,
araña,1,
desde,1,
niño,1,
xcelente,1,
cierre,1,
las,4,
saga,1,
llena,2,
momentos,1,
nostálgicos,1,
momento,1,
los,7,
únicos,1,
fans,1,
ya,2,
nesperado,1,
a,11,
pesar,1,
diferentes,1,
teorías,1,
acerca,1,
acontecimientos,1,
se,4,
generó,1,
ambiente,2,
sorpresivo,1,
genera,1,
sentimiento,1,
alegría,1,
emoción,1,
intensa,1,
nostalgia,1,
por,2,
muchos,1,
recordamos,1,
nuestra,1,
infancia,1,
efectos,1,
especiales,1,
son,1,
excelente,1,
conecta,1,
nueva,1,
generación,1,
antiguas,1,
duda,1,
mejore,1,
del,4,
ucm,3,
bra,1,
maestra,2,
exelente,1,
factor,1,
nostálgico,1,
perfecto,1,
esta,6,
poema,1,
amo,1,
iento,1,
uno,1,
proyectos,1,
mas,5,
grande,2,
marvel,3,
incluso,1,
end,1,
game,1,
pero,2,
mantengo,1,
buenas,1,
espectativas,1,
unico,1,
vamos,1,
ver,2,
tobbey,1,
mcguire,1,
andrew,1,
garfield,1,
junto,1,
pantalla,1,
motiva,1,
entrega,1,
spoiler,1,
sólo,1,
recomiendo,1,
verla,1,
arreglo,1,
desastre,1,
anterior,2,
dr,1,
mysterio,1,
malísima,1,
afortunadamente,1,
disney,1,
tiene,5,
derechos,1,
exclusiva,1,
puede,2,
destrozarla,1,
su,1,
antojo,1,
quiere,1,
otra,1,
ola,1,
gusto,1,
mucho,3,
nos,2,
reímos,1,
montón,1,
habíamos,1,
pensado,1,
problema,1,
poner,1,
edade,2,
vez,1,
vir,1,
madre,1,
3,1,
niños,1,
dicha,1,
pequeño,2,
tendria,1,
2,1,
año,2,
mujer,1,
puso,1,
saxar,1,
teta,1,
coma,1,
ara,1,
mi,4,
hasta,1,
ahora,1,
completa,1,
sorprendió,1,
principio,1,
final,2,
actores,1,
están,1,
10,1,
sobre,2,
dafoe,1,
duende,1,
verde,1,
ha,2,
convertido,1,
villano,1,
5,1,
estrella,1,
uando,1,
buena,1,
hay,2,
qué,1,
decir,2,
misma,1,
además,1,
será,1,
puedo,1,
volvería,1,
aburriría,1,
hace,3,
falta,1,
mencionar,1,
filme,1,
cómo,1,
unión,1,
cinematografía,1,
solo,2,
s,1,
increíble,1,
todos,1,
esperábamos,1,
tiempo,1,
trajo,1,
muchas,1,
expectativas,1,
sería,1,
resulto,1,
esperado,1,
l,1,
guion,1,
flojo,1,
he,1,
visto,1,
años,1,
mcu,1,
hype,1,
alrededor,1,
inclusión,1,
peliculas,1,
pasada,1,
poco,1,
rescatable,1,
aparte,1,
eso,2,
desarollo,1,
ni,1,
moraleja,1,
tristemente,1,
podido,1,
vender,1,
buen,1,
cine,1,
cuatro,1,
triste,1,
prefieran,1,
emocionar,1,
ala,1,
gente,1,
crear,1,
obra,1,
si,1,
contratar,1,
buenos,1,
directore,1,
van,1,
dt,1,
mom,1,
sam,1,
raimi,1,
